ReviewID	SentenceID	Text	Tokens
18	18_5	We did try ordering room service online, which didn't work, but the hotel immediately compensated us for the inconvenience.	["We","did","try","ordering","room","service","online",",","which","did","n't","work",",","but","the","hotel","immediately","compensated","us","for","the","inconvenience","."]
18	18_6	This was our first time in Vegas, and if we come back, I would definitely want to stay at the Venetian again.	["This","was","our","first","time","in","Vegas",",","and","if","we","come","back",",","I","would","definitely","want","to","stay","at","the","Venetian","again","."]
19	19_0	Hotel need to provide some room in refrigerator where we can keep some personal items.	["Hotel","need","to","provide","some","room","in","refrigerator","where","we","can","keep","some","personal","items","."]
19	19_1	Not the entire fridge loaded with alcohol :) Also would have been good if the room got a microwave oven.	["Not","the","entire","fridge","loaded","with","alcohol",":)","Also","would","have","been","good","if","the","room","got","a","microwave","oven","."]
19	19_2	Other than these two for sure you will love this place for your stay.	["Other","than","these","two","for","sure","you","will","love","this","place","for","your","stay","."]
20	20_0	I have stayed at NYNY, Bellagio and MGM.	["I","have","stayed","at","NYNY",",","Bellagio","and","MGM","."]
20	20_1	The Venetian has the best suites, excellent restaurants, great shopping and is by far the best value for money on the strip.	["The","Venetian","has","the","best","suites",",","excellent","restaurants",",","great","shopping","and","is","by","far","the","best","value","for","money","on","the","strip","."]
22	22_0	The suite was beautiful, spacious and comfortable.	["The","suite","was","beautiful",",","spacious","and","comfortable","."]
22	22_1	We had a great relaxing night.	["We","had","a","great","relaxing","night","."]
22	22_2	A wonderful way to celebrate our 28th Anniversary :) We also got to go to Tao night club, as guests we get in free and get a complimentary drink, quite a night!	["A","wonderful","way","to","celebrate","our","28th","Anniversary",":)","We","also","got","to","go","to","Tao","night","club",",","as","guests","we","get","in","free","and","get","a","complimentary","drink",",","quite","a","night","!"]
22	22_4	We must return for a longer stay next time as there is so much to do and experience!	["We","must","return","for","a","longer","stay","next","time","as","there","is","so","much","to","do","and","experience","!"]
22	22_6	The only negative is the resort fee which is compulsory as the only thing we got from it was the free Wifi.	["The","only","negative","is","the","resort","fee","which","is","compulsory","as","the","only","thing","we","got","from","it","was","the","free","Wifi","."]
22	22_7	We were not told what we get for the resort fee and it was only after checking online I realized we did not get the drinks coupon, the free coffee or tea, the newspaper or the access for two to the fitness facility.	["We","were","not","told","what","we","get","for","the","resort","fee","and","it","was","only","after","checking","online","I","realized","we","did","not","get","the","drinks","coupon",",","the","free","coffee","or","tea",",","the","newspaper","or","the","access","for","two","to","the","fitness","facility","."]
22	22_8	On our next stay we will ensure we ask what the resort fee offers and make sure we get it!	["On","our","next","stay","we","will","ensure","we","ask","what","the","resort","fee","offers","and","make","sure","we","get","it","!"]
23	23_0	Luxurious room; excellent strip view; Hotel/Casino has plenty to see and do.	["Luxurious","room",";","excellent","strip","view",";","Hotel","/","Casino","has","plenty","to","see","and","do","."]
23	23_1	Mall area has lots of shopping and restaurant choices.	["Mall","area","has","lots","of","shopping","and","restaurant","choices","."]
23	23_2	You could spend an entire weekend just on the Venetian property!	["You","could","spend","an","entire","weekend","just","on","the","Venetian","property","!"]
24	24_0	This was the best hotel staff was immaculate room was beautiful and it was right on the strip will def stay again.	["This","was","the","best","hotel","staff","was","immaculate","room","was","beautiful","and","it","was","right","on","the","strip","will","def","stay","again","."]
25	25_0	This was my third time here - twice at the Venetian and once at the Palazzo - my girlfriend and I went to celebrate our 50th birthdays and she had always wanted to stay there so expectations were high - we weren't disappointed - although it was busy with conventions, check in was still quick and since we were early (before noon) our room wasn't ready so they upgraded us to the Venezia Tower - the room, location, facilities were all top notch and the staff extremely friendly and helpful - would definitely stay there again	["This","was","my","third","time","here","-","twice","at","the","Venetian","and","once","at","the","Palazzo","-","my","girlfriend","and","I","went","to","celebrate","our","50th","birthdays","and","she","had","always","wanted","to","stay","there","so","expectations","were","high","-","we","were","n't","disappointed","-","although","it","was","busy","with","conventions",",","check","in","was","still","quick","and","since","we","were","early","(","before","noon",")","our","room","was","n't","ready","so","they","upgraded","us","to","the","Venezia","Tower","-","the","room",",","location",",","facilities","were","all","top","notch","and","the","staff","extremely","friendly","and","helpful","-","would","definitely","stay","there","again"]
26	26_0	Our room was extremely clean and luxurious.	["Our","room","was","extremely","clean","and","luxurious","."]
26	26_1	The hotel staff was very helpful and friendly.	["The","hotel","staff","was","very","helpful","and","friendly","."]
26	26_2	We will definitely stay at the Venetian again.	["We","will","definitely","stay","at","the","Venetian","again","."]
27	27_3	this place is amazing the city alone never sleeps but the hotel is just jaw dropping.	["this","place","is","amazing","the","city","alone","never","sleeps","but","the","hotel","is","just","jaw","dropping","."]
27	27_4	the room is spacious and over the top i got the luxury suite with a view it was only a view of the mountains and pool but was still worth that little extra.	["the","room","is","spacious","and","over","the","top","i","got","the","luxury","suite","with","a","view","it","was","only","a","view","of","the","mountains","and","pool","but","was","still","worth","that","little","extra","."]
27	27_5	anything you could need can be found in the hotel.	["anything","you","could","need","can","be","found","in","the","hotel","."]
27	27_6	would definitely stay there again.	["would","definitely","stay","there","again","."]
28	28_0	full of happiness and .	["full","of","happiness","and","."]
28	28_3	I was there for conference but I had great time in this hotel.	["I","was","there","for","conference","but","I","had","great","time","in","this","hotel","."]
29	29_0	great place its a must go and see for yourself.	["great","place","its","a","must","go","and","see","for","yourself","."]
30	30_0	What a lovely place to stay!	["What","a","lovely","place","to","stay","!"]
30	30_1	The staff are so friendly and genuinely happy to help and make your stay a wonderful experience.	["The","staff","are","so","friendly","and","genuinely","happy","to","help","and","make","your","stay","a","wonderful","experience","."]
30	30_3	I will be back again!	["I","will","be","back","again","!"]
31	31_0	Enjoyed our stay a lot, will be a repeat customer.	["Enjoyed","our","stay","a","lot",",","will","be","a","repeat","customer","."]
32	32_0	Loved the Gondolas and the rooms, very comfortable, everything was great and unforgetable!	["Loved","the","Gondolas","and","the","rooms",",","very","comfortable",",","everything","was","great","and","unforgetable","!"]
33	33_0	Ideal mix of workout, spa, outstanding food, shopping, shows & fun romance all in one!	["Ideal","mix","of","workout",",","spa",",","outstanding","food",",","shopping",",","shows","&","fun","romance","all","in","one","!"]
34	34_0	The front desk gave me wrong room number and bothered the guest in room.	["The","front","desk","gave","me","wrong","room","number","and","bothered","the","guest","in","room","."]
34	34_1	It was so embarrassed.	["It","was","so","embarrassed","."]
34	34_2	The hotel map is confused and out of date.	["The","hotel","map","is","confused","and","out","of","date","."]
34	34_3	I can't believe this is high class hotel.	["I","ca","n't","believe","this","is","high","class","hotel","."]
36	36_0	The only thing we weren't happy about was at check in we had requested no smoking rooms and they didn't have any, this was important to us.	["The","only","thing","we","were","n't","happy","about","was","at","check","in","we","had","requested","no","smoking","rooms","and","they","did","n't","have","any",",","this","was","important","to","us","."]
36	36_1	They did upgrade us and the room was nice but smelled of smoke.	["They","did","upgrade","us","and","the","room","was","nice","but","smelled","of","smoke","."]
37	37_0	Nice hotel, friendly staff, good facilities.	["Nice","hotel",",","friendly","staff",",","good","facilities","."]
37	37_2	I can not tell one bad worth about the hotel.	["I","can","not","tell","one","bad","worth","about","the","hotel","."]
37	37_3	Nice casino only sometimes you must wait a long time for a drink.	["Nice","casino","only","sometimes","you","must","wait","a","long","time","for","a","drink","."]
37	37_4	Nice different restaurants, a good support for those who want to make a trip to the Grand Canyon or to a show, when you didn't book this in advance.	["Nice","different","restaurants",",","a","good","support","for","those","who","want","to","make","a","trip","to","the","Grand","Canyon","or","to","a","show",",","when","you","did","n't","book","this","in","advance","."]
37	37_5	I will book this hotel again.	["I","will","book","this","hotel","again","."]
38	38_0	I have stayed at a few 5 star hotels in Vegas I prefer the Venetian overall.	["I","have","stayed","at","a","few","5","star","hotels","in","Vegas","I","prefer","the","Venetian","overall","."]
38	38_1	The hotel offered a large selection of restaurants and shops.	["The","hotel","offered","a","large","selection","of","restaurants","and","shops","."]
38	38_2	I would stay here again.	["I","would","stay","here","again","."]
39	39_0	The Venetian is the 7th hotel where we've stayed in Vegas and we were really looking forward to it having been all thru' the public area on numerous occasions previously.	["The","Venetian","is","the","7th","hotel","where","we","'ve","stayed","in","Vegas","and","we","were","really","looking","forward","to","it","having","been","all","thru","'","the","public","area","on","numerous","occasions","previously","."]
39	39_1	What we hadnt realised until staying there is the complete lack of a quiet area just to sit and relax.	["What","we","hadnt","realised","until","staying","there","is","the","complete","lack","of","a","quiet","area","just","to","sit","and","relax","."]
39	39_2	The only escape from the pandemonium was our suite which was of a very high standard but you don't want to stay in your room when on vacation.	["The","only","escape","from","the","pandemonium","was","our","suite","which","was","of","a","very","high","standard","but","you","do","n't","want","to","stay","in","your","room","when","on","vacation","."]
39	39_3	The pool area was packed out with (padded) sun beds to the extent that there is absolutely no room for any parasols, other than the dining area, which most people would probably agree were necessary in the 118 deg temp.	["The","pool","area","was","packed","out","with","(","padded",")","sun","beds","to","the","extent","that","there","is","absolutely","no","room","for","any","parasols",",","other","than","the","dining","area",",","which","most","people","would","probably","agree","were","necessary","in","the","118","deg","temp","."]
39	39_4	Beautiful rooms / suites but we won't be using the hotel again	["Beautiful","rooms","/","suites","but","we","wo","n't","be","using","the","hotel","again"]
40	40_0	Very comfortable accommodation, upgraded to a better floor with city views.	["Very","comfortable","accommodation",",","upgraded","to","a","better","floor","with","city","views","."]
40	40_1	The interior was very clean, and food was good.	["The","interior","was","very","clean",",","and","food","was","good","."]
41	41_0	Our hotel stay at The Venetian was GREAT!	["Our","hotel","stay","at","The","Venetian","was","GREAT","!"]
41	41_2	It's right in the center of the strip and close to Caesar's Palace which have the Forum Mall located inside and right across the street from the Fashion Show Mall.	["It","'s","right","in","the","center","of","the","strip","and","close","to","Caesar","'s","Palace","which","have","the","Forum","Mall","located","inside","and","right","across","the","street","from","the","Fashion","Show","Mall","."]
41	41_3	The staff was so friendly and knowledgeable when answering questions.	["The","staff","was","so","friendly","and","knowledgeable","when","answering","questions","."]
41	41_4	I would most definitely recommend this hotel when visiting Las Vegas.	["I","would","most","definitely","recommend","this","hotel","when","visiting","Las","Vegas","."]
43	43_0	In spite of being a HUGE facility, my stay was outstanding!	["In","spite","of","being","a","HUGE","facility",",","my","stay","was","outstanding","!"]
43	43_1	The rooms are extremely roomy, comfortable, clean and peaceful.	["The","rooms","are","extremely","roomy",",","comfortable",",","clean","and","peaceful","."]
43	43_2	The convenience and connection to other hotels and the mall via walkways provides an added plus for shopping, casinos and restaurants.	["The","convenience","and","connection","to","other","hotels","and","the","mall","via","walkways","provides","an","added","plus","for","shopping",",","casinos","and","restaurants","."]
44	44_0	We stayed at the Venetian for 3 nights and it was excellent.	["We","stayed","at","the","Venetian","for","3","nights","and","it","was","excellent","."]
44	44_1	Everything was fantastic, the room, restaurants, shows, and the staff!	["Everything","was","fantastic",",","the","room",",","restaurants",",","shows",",","and","the","staff","!"]
44	44_2	Definitely will stay there again!	["Definitely","will","stay","there","again","!"]
45	45_0	We are a couple in our mid thirties visiting Vegas for the first time.	["We","are","a","couple","in","our","mid","thirties","visiting","Vegas","for","the","first","time","."]
45	45_1	This was a romantic get away with some relaxation and reconnection.	["This","was","a","romantic","get","away","with","some","relaxation","and","reconnection","."]
45	45_2	We loved our Venitian suite!	["We","loved","our","Venitian","suite","!"]
45	45_5	The bed was very comfortable, the tub was great for a relaxing soak.	["The","bed","was","very","comfortable",",","the","tub","was","great","for","a","relaxing","soak","."]
45	45_6	There are 3 televisions in the room...	["There","are","3","televisions","in","the","room","..."]
45	45_7	one in front of the bed, one in the sitting area and the last one in the bathroom.	["one","in","front","of","the","bed",",","one","in","the","sitting","area","and","the","last","one","in","the","bathroom","."]
45	45_8	You wont miss a thing!	["You","wont","miss","a","thing","!"]
45	45_11	We didn't take advantage of room service, so we can't comment on that.	["We","did","n't","take","advantage","of","room","service",",","so","we","ca","n't","comment","on","that","."]
45	45_12	The resort is HUGE, it took us a while to find the check in desk and then to find our room, you really can't be in a hurry when staying at the Venitian, it's so big and Grand you are bound to get lost!	["The","resort","is","HUGE",",","it","took","us","a","while","to","find","the","check","in","desk","and","then","to","find","our","room",",","you","really","ca","n't","be","in","a","hurry","when","staying","at","the","Venitian",",","it","'s","so","big","and","Grand","you","are","bound","to","get","lost","!"]
45	45_14	Also, be prepared for the extra daily resort fee that the hotel charges on top of the hotel cost.	["Also",",","be","prepared","for","the","extra","daily","resort","fee","that","the","hotel","charges","on","top","of","the","hotel","cost","."]
46	46_0	Need to supply at least a mini fridge (one that is not full of over priced items) for guest convenience.	["Need","to","supply","at","least","a","mini","fridge","(","one","that","is","not","full","of","over","priced","items",")","for","guest","convenience","."]
46	46_1	Other than that and a ridiculous daily extra room fee, really nice experience.	["Other","than","that","and","a","ridiculous","daily","extra","room","fee",",","really","nice","experience","."]
47	47_0	Luxurious large room, well maintained property, friendly and knowledgeable staff - wish we were staying in Vegas more than one night!	["Luxurious","large","room",",","well","maintained","property",",","friendly","and","knowledgeable","staff","-","wish","we","were","staying","in","Vegas","more","than","one","night","!"]
48	48_0	Hotel is amazing rooms are big and clean central location good casino	["Hotel","is","amazing","rooms","are","big","and","clean","central","location","good","casino"]
49	49_1	The rooms are large and accommodating.	["The","rooms","are","large","and","accommodating","."]
49	49_2	Avpid the rooma right next to the elevator.	["Avpid","the","rooma","right","next","to","the","elevator","."]
49	49_3	Someone got sick outside the door and the smell lingered all night in to room.	["Someone","got","sick","outside","the","door","and","the","smell","lingered","all","night","in","to","room","."]
50	50_0	It was a great vacation for my husband and I and our 21 year old twins.	["It","was","a","great","vacation","for","my","husband","and","I","and","our","21","year","old","twins","."]
50	50_1	A memory maker, for certain.	["A","memory","maker",",","for","certain","."]
50	50_2	Hotel staff was helpful and friendly.	["Hotel","staff","was","helpful","and","friendly","."]
50	50_3	Our room had spectacular views, and the meals in the canals were very good.	["Our","room","had","spectacular","views",",","and","the","meals","in","the","canals","were","very","good","."]
50	50_4	Wish the hotel was in the middle of the strip, as we walked alot, but didn't bother us that much.	["Wish","the","hotel","was","in","the","middle","of","the","strip",",","as","we","walked","alot",",","but","did","n't","bother","us","that","much","."]
51	51_0	it's one of the best.	["it","'s","one","of","the","best","."]
51	51_1	The suite was so big and wonderful.	["The","suite","was","so","big","and","wonderful","."]
51	51_2	The hotel itself is so huge with all the facilities you'd expect.	["The","hotel","itself","is","so","huge","with","all","the","facilities","you","'d","expect","."]
51	51_3	The staff were so helpful, they would guide you to whatever you wish and assist you with anything you need.	["The","staff","were","so","helpful",",","they","would","guide","you","to","whatever","you","wish","and","assist","you","with","anything","you","need","."]
53	53_0	Had 4 days at the Venetion, and rate it 9.8 out of 10, with the ONLY small gripe was only warm water in bathroom sink, but hot in shower[?	["Had","4","days","at","the","Venetion",",","and","rate","it","9.8","out","of","10",",","with","the","ONLY","small","gripe","was","only","warm","water","in","bathroom","sink",",","but","hot","in","shower","(","?"]
53	53_2	]. Hotel staff in all areas were great.	[")",".","Hotel","staff","in","all","areas","were","great","."]
53	53_3	Outstanding room, beyond beautiful facility.	["Outstanding","room",",","beyond","beautiful","facility","."]
54	54_1	Room was large and well organized.	["Room","was","large","and","well","organized","."]
54	54_2	Loved the modern style and finishings in the room.	["Loved","the","modern","style","and","finishings","in","the","room","."]
55	55_0	The staffs were very professional, rooms were very clean and nicely decorated.	["The","staffs","were","very","professional",",","rooms","were","very","clean","and","nicely","decorated","."]
56	56_0	The Bouchon restaurant was excellent!	["The","Bouchon","restaurant","was","excellent","!"]
56	56_1	The decor, the service, and the food were incredible.	["The","decor",",","the","service",",","and","the","food","were","incredible","."]
56	56_2	Kevin, our waiter was so pleasant...	["Kevin",",","our","waiter","was","so","pleasant","..."]
57	57_0	Our original reserved room had the water shut off suddenly, reception only reacted after we called for the 3rd time asking when the water would be turned back on.	["Our","original","reserved","room","had","the","water","shut","off","suddenly",",","reception","only","reacted","after","we","called","for","the","3rd","time","asking","when","the","water","would","be","turned","back","on","."]
57	57_1	That is when they offered us a new room with a better view, plus a credit note for the trouble.	["That","is","when","they","offered","us","a","new","room","with","a","better","view",",","plus","a","credit","note","for","the","trouble","."]
57	57_2	I would have not mentioned this except that for 3-4 hours we were without water and reception was not really communicating very well the water situation to us.	["I","would","have","not","mentioned","this","except","that","for","3-4","hours","we","were","without","water","and","reception","was","not","really","communicating","very","well","the","water","situation","to","us","."]
57	57_3	In the end we were happy.	["In","the","end","we","were","happy","."]
57	57_4	Besides that issue, the second pool was closed for some reason, which caused the main pool to be crowded.	["Besides","that","issue",",","the","second","pool","was","closed","for","some","reason",",","which","caused","the","main","pool","to","be","crowded","."]
57	57_5	Overall though nice hotel.	["Overall","though","nice","hotel","."]
58	58_0	Only one thin and torn blanket is given for sofa bed, and there are many holes on this blanket.	["Only","one","thin","and","torn","blanket","is","given","for","sofa","bed",",","and","there","are","many","holes","on","this","blanket","."]
59	59_0	Great staff, wonderful service.	["Great","staff",",","wonderful","service","."]
59	59_1	Very neat and clean.	["Very","neat","and","clean","."]
60	60_0	Very good overall but not at nice at Pallazzo where we usually stay.	["Very","good","overall","but","not","at","nice","at","Pallazzo","where","we","usually","stay","."]
61	61_0	Everything was absolutely amazing.	["Everything","was","absolutely","amazing","."]
61	61_2	We will definitely be staying there going forward as our hotel of choice	["We","will","definitely","be","staying","there","going","forward","as","our","hotel","of","choice"]
62	62_2	Would highly recommend The Venetian to others.	["Would","highly","recommend","The","Venetian","to","others","."]
63	63_0	The logistics of the Venetia Tower required walking (and more walking, while hauling luggage), and two elevator bank changes before arriving at a very comfortable room.	["The","logistics","of","the","Venetia","Tower","required","walking","(","and","more","walking",",","while","hauling","luggage",")",",","and","two","elevator","bank","changes","before","arriving","at","a","very","comfortable","room","."]
63	63_1	I wasn't expecting that, especially with a late arrival when you just want to get to your room quickly.	["I","was","n't","expecting","that",",","especially","with","a","late","arrival","when","you","just","want","to","get","to","your","room","quickly","."]
63	63_2	Otherwise, very nice facility.	["Otherwise",",","very","nice","facility","."]
65	65_0	Hotel was best we have ever stayed in Las Vegas.	["Hotel","was","best","we","have","ever","stayed","in","Las","Vegas","."]
65	65_1	Room was very large with split level bedroom and lounge area.	["Room","was","very","large","with","split","level","bedroom","and","lounge","area","."]
65	65_2	It was kept clean as was the rest of the hotel.	["It","was","kept","clean","as","was","the","rest","of","the","hotel","."]
65	65_3	Pool area was large with a number of separate pool areas, again kept in very good order.	["Pool","area","was","large","with","a","number","of","separate","pool","areas",",","again","kept","in","very","good","order","."]
65	65_4	Location great in centre of ""strip"" and close to other places.	["Location","great","in","centre","of","''","``","strip","''","''","and","close","to","other","places","."]
65	65_5	All in all great experience in a great hotel.	["All","in","all","great","experience","in","a","great","hotel","."]
66	66_0	This is our second time at the Venetian, and it will not be our last.	["This","is","our","second","time","at","the","Venetian",",","and","it","will","not","be","our","last","."]
66	66_1	Beds situated in a raised area above the sitting quarters and business desk.	["Beds","situated","in","a","raised","area","above","the","sitting","quarters","and","business","desk","."]
66	66_2	Large bathroom, with a huge tub and a shower big enough for two.	["Large","bathroom",",","with","a","huge","tub","and","a","shower","big","enough","for","two","."]
66	66_3	Two televisions, one in the bed area, the other in the sitting area.	["Two","televisions",",","one","in","the","bed","area",",","the","other","in","the","sitting","area","."]
66	66_4	Beds are wonderfully comfortable, nighttime blinds block the daylight, so you can stay out late, and sleep in without being awaken by bright light.	["Beds","are","wonderfully","comfortable",",","nighttime","blinds","block","the","daylight",",","so","you","can","stay","out","late",",","and","sleep","in","without","being","awaken","by","bright","light","."]
66	66_6	Hotel staff are quick to respond, our luggage was delivered within 15 minutes of arrival.	["Hotel","staff","are","quick","to","respond",",","our","luggage","was","delivered","within","15","minutes","of","arrival","."]
66	66_7	Valet parking is part of the Venetian experience, take advantage of it!	["Valet","parking","is","part","of","the","Venetian","experience",",","take","advantage","of","it","!"]
66	66_8	The tip you give the driver is worth not having to deal with the self parking garages.	["The","tip","you","give","the","driver","is","worth","not","having","to","deal","with","the","self","parking","garages","."]
66	66_9	Lines to check in are long, but seeing that not one resort I have stayed in within Vegas are any shorter, this is something I have just come to expect from Vegas.	["Lines","to","check","in","are","long",",","but","seeing","that","not","one","resort","I","have","stayed","in","within","Vegas","are","any","shorter",",","this","is","something","I","have","just","come","to","expect","from","Vegas","."]
67	67_0	After a disappointing stay at the Encore, I was dreading my stay at the Venetian.	["After","a","disappointing","stay","at","the","Encore",",","I","was","dreading","my","stay","at","the","Venetian","."]
67	67_1	I was ready to be done with 5 star establishments, and not looking forward to my stay at another one.	["I","was","ready","to","be","done","with","5","star","establishments",",","and","not","looking","forward","to","my","stay","at","another","one","."]
67	67_2	I am very glad I didn't cancel, because the Venetian is a much better experience than the Encore was.	["I","am","very","glad","I","did","n't","cancel",",","because","the","Venetian","is","a","much","better","experience","than","the","Encore","was","."]
67	67_3	I wish I had stayed all three nights there instead of just the last one.	["I","wish","I","had","stayed","all","three","nights","there","instead","of","just","the","last","one","."]
68	68_2	Concierge was most helpful.	["Concierge","was","most","helpful","."]
70	70_0	Except for the slow check-in, all was perfect at the Venetian.	["Except","for","the","slow","check","-","in",",","all","was","perfect","at","the","Venetian","."]
70	70_1	Lovely room, and everything extremely clean and well-maintained.	["Lovely","room",",","and","everything","extremely","clean","and","well","-","maintained","."]
70	70_2	Staff was very helpful and friendly.	["Staff","was","very","helpful","and","friendly","."]
70	70_3	Food (room service breakfast and Bouchon restaurant) was high quality and very enjoyable.	["Food","(","room","service","breakfast","and","Bouchon","restaurant",")","was","high","quality","and","very","enjoyable","."]
70	70_4	I would stay at the Venetian again.	["I","would","stay","at","the","Venetian","again","."]
72	72_0	This resort was excellent.	["This","resort","was","excellent","."]
72	72_1	The suite we stayed in was pricey, but well worth the money spent.	["The","suite","we","stayed","in","was","pricey",",","but","well","worth","the","money","spent","."]
72	72_4	Siena suite was far beyond what I expected.	["Siena","suite","was","far","beyond","what","I","expected","."]
74	74_0	People tend to speak of the negative only...	["People","tend","to","speak","of","the","negative","only","..."]
74	74_1	I must say that our stay at the Venetian was fantastic.	["I","must","say","that","our","stay","at","the","Venetian","was","fantastic","."]
